user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
116353,行游天下,10,812,251,2346,0,[],6,0,[]
121147,vigea,12,825,174,1321,1,[],8,0,[]
166037,薛小落,12,1016,344,3937,0,[],1,1,"[{'liuyan_user_id': '36164084', 'liuyan_time': '2018-10-17 21:20:28'}]"
166866,轻微,11,1021,240,3104,1,[],4,1,"[{'liuyan_user_id': '81995374', 'liuyan_time': '2016-11-18 14:11:28'}]"
207097,悠悠傲,17,38,12,189,1,[],0,0,[]
269559,云淡风清,37,1559,141,1646,743,[],0,0,[]
342237,wayne,22,60,71,882,7,[],0,0,[]
369050,007天空,37,1032,344,31999,73,[],0,0,[]
382379,让旗帜插满全球,21,104,22,1947,8,[],1,0,[]
411693,NZD,45,1663,443,3786,1227,[],1,0,[]
485997,小北,14,1086,420,3418,0,[],3,2,"[{'liuyan_user_id': '54089496', 'liuyan_time': '2018-01-07 20:13:47'}, {'liuyan_user_id': '30625313', 'liuyan_time': '2015-11-06 09:16:57'}]"
513105,青争,37,24,1910,22402,902,[],29,4,"[{'liuyan_user_id': '5682648', 'liuyan_time': '2017-05-03 12:14:29'}, {'liuyan_user_id': '71803344', 'liuyan_time': '2016-03-19 19:17:36'}, {'liuyan_user_id': '513105', 'liuyan_time': '2015-07-29 20:10:02'}, {'liuyan_user_id': '762537', 'liuyan_time': '2015-07-29 15:54:49'}]"
547469,粪发涂墙,22,466,21,349,105,[],0,0,[]
612702,大个,24,662,335,3983,64,[],0,0,[]
616488,老馋,26,435,4516,6359,129,[],1,1,"[{'liuyan_user_id': '74466223', 'liuyan_time': '2016-05-11 05:45:18'}]"
777502,小利子,35,540,1402,13586,1613,[],1,1,"[{'liuyan_user_id': '17457907', 'liuyan_time': '2016-10-18 00:48:28'}]"
800801,安-池墨,14,1159,1515,5296,8,[],17,1,"[{'liuyan_user_id': '32833979', 'liuyan_time': '2017-10-21 17:02:18'}]"
804726,亚当的肋骨,10,598,80,829,0,[],3,0,[]
829370,加贝,24,25,12,948,119,[],0,0,[]
914752,糖糖,35,54,38,835,84,[],2,0,[]
972836,Ben,27,141,105,2019,1,[],5,1,"[{'liuyan_user_id': '972836', 'liuyan_time': '2015-09-11 12:33:36'}]"
1084612,哎哟喂abc,29,247,26,554,352,[],0,0,[]
1949180,梦在流浪,14,127,53,3906,4,[],0,0,[]
5049579,北京老刘的足迹,17,29,60,361,17,[],0,0,[]
5175687,红袍守望,30,112,14,2196,466,[],0,0,[]
5176009,馒头more,41,443,2182,9956,2910,[],1,3,"[{'liuyan_user_id': '93906419', 'liuyan_time': '2019-06-19 16:50:37'}, {'liuyan_user_id': '5176009', 'liuyan_time': '2019-06-18 17:03:43'}, {'liuyan_user_id': '93906419', 'liuyan_time': '2019-06-18 15:07:47'}]"
5292557,Up In The Air,16,93,14,444,43,[],0,0,[]
5451212,姜先,21,34,12,933,8,[],3,0,[]
5550526,汐颜,30,294,524,10436,399,[],0,0,[]
