user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
229531,柠檬,15,1095,1703,4434,11,[],12,0,[]
230848,妹娃,28,253,82,1247,1201,[],0,0,[]
242175,玩笑人物,22,2098,1831,5729,15,[],10,1,"[{'liuyan_user_id': '68464683', 'liuyan_time': '2017-10-27 09:02:38'}]"
253230,苍穹,25,367,69,4247,136,[],3,1,"[{'liuyan_user_id': '57016817', 'liuyan_time': '2017-03-21 15:08:59'}]"
259657,树朴,16,1165,594,1788,0,[],2,0,[]
278930,马蜂窝用户,8,1,1,547,12,[],0,0,[]
369050,007天空,37,1032,344,32002,73,[],0,0,[]
407107,poisson,15,1058,455,2321,1,[],3,0,[]
409538,微子,9,557,183,2375,1,[],6,0,[]
485997,小北,14,1086,420,3421,0,[],3,2,"[{'liuyan_user_id': '54089496', 'liuyan_time': '2018-01-07 20:13:47'}, {'liuyan_user_id': '30625313', 'liuyan_time': '2015-11-06 09:16:57'}]"
513105,青争,37,24,1910,22405,902,[],29,4,"[{'liuyan_user_id': '5682648', 'liuyan_time': '2017-05-03 12:14:29'}, {'liuyan_user_id': '71803344', 'liuyan_time': '2016-03-19 19:17:36'}, {'liuyan_user_id': '513105', 'liuyan_time': '2015-07-29 20:10:02'}, {'liuyan_user_id': '762537', 'liuyan_time': '2015-07-29 15:54:49'}]"
554463,daxia,26,291,914,1128,298,[],0,0,[]
928452,鑫的旅行,15,73,29,698,20,[],1,0,[]
961428,白加黑,26,313,107,1996,625,[],2,1,"[{'liuyan_user_id': '975330', 'liuyan_time': '2015-08-14 12:11:01'}]"
5175687,红袍守望,30,112,14,2199,466,[],0,0,[]
5301432,Lauccc,26,213,66,2298,879,[],4,0,[]
5550526,汐颜,30,294,525,10440,399,[],0,0,[]
17276841,海哥,23,252,7,223,50,[],0,0,[]
