user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
252380,小贝,26,2152,3303,10450,8,[],8,1,"[{'liuyan_user_id': '43380605', 'liuyan_time': '2017-03-30 11:03:30'}]"
298893,步同驿-单身天堂,9,11,17,158,0,[],0,0,[]
332837,小灰侠,12,1094,1668,5398,9,[],9,1,"[{'liuyan_user_id': '93536425', 'liuyan_time': '2016-07-04 23:20:11'}]"
359081,传扬,16,1043,209,1355,0,[],4,0,[]
397972,王小暖,9,551,173,2317,0,[],4,1,"[{'liuyan_user_id': '80453227', 'liuyan_time': '2018-03-26 22:13:14'}]"
463843,akira_black,13,1124,1533,4637,2,[],4,0,[]
491903,*圣女不败,14,1134,1889,4916,9,[],7,1,"[{'liuyan_user_id': '77102149', 'liuyan_time': '2018-07-30 21:28:03'}]"
587403,指间ゝ尽是繁华,34,61,721,9460,468,[],14,0,[]
636276,amia,45,383,541,16832,563,[],0,3,"[{'liuyan_user_id': '40675345', 'liuyan_time': '2017-05-10 14:06:53'}, {'liuyan_user_id': '88767745', 'liuyan_time': '2017-04-18 00:37:42'}, {'liuyan_user_id': '5826872', 'liuyan_time': '2016-04-28 12:30:27'}]"
743821,删除,34,16,525,5076,4469,[],2,1,"[{'liuyan_user_id': '48078672', 'liuyan_time': '2015-07-20 16:30:44'}]"
961428,白加黑,26,313,107,1998,625,[],2,1,"[{'liuyan_user_id': '975330', 'liuyan_time': '2015-08-14 12:11:01'}]"
5175687,红袍守望,30,112,14,2201,466,[],0,0,[]
5640017,马蜂窝用户,8,7,5,386,0,[],0,0,[]
5657164,林先生漫游仙境,45,99,1347,19638,3155,[],5,1,"[{'liuyan_user_id': '41722746', 'liuyan_time': '2016-02-28 18:23:02'}]"
10794971,VIKA,13,18,14,426,15,[],13,0,[]
17148428,最简单的快乐,19,19,2201,5952,1,[],0,0,[]
17436372,安染,21,3001,1836,7262,10,[],6,0,[]
17457274,chuyixi,16,51,42,824,6,[],0,0,[]
17498623,文森特,14,3000,200,2241,0,[],3,0,[]
17504786,二界石,15,2121,56,355,196,[],297,0,[]
17536658,无边,20,449,32,722,5,[],0,0,[]
17539207,吾仙,16,3000,1413,4229,2,[],12,0,[]
17696257,橙子赛高,14,2999,228,2710,1,[],4,1,"[{'liuyan_user_id': '48070171', 'liuyan_time': '2019-04-02 08:25:31'}]"
17733085,秋也,16,3001,304,3071,0,[],6,0,[]
17736309,格林童话,27,186,5314,4364,534,[],1,0,[]
17740185,山芋爱吃肉,19,349,47,5212,101,[],1,0,[]
17742348,Bonnie,17,3000,408,4272,0,[],10,1,"[{'liuyan_user_id': '92959072', 'liuyan_time': '2016-10-09 02:03:18'}]"
18084435,火星太阳猪,15,74,63,5024,93,[],0,0,[]
18133781,一只佩奇,17,3001,1608,5583,13,[],7,0,[]
19042025,雪弗兰,19,495,16,369,27,[],0,0,[]
19223944,谢半仙儿,22,105,218,10709,22,[],25,1,"[{'liuyan_user_id': '19223944', 'liuyan_time': '2018-07-19 07:40:49'}]"
19831841,熊熊,19,117,31,816,168,[],1,0,[]
19900129,小太阳,16,2919,1196,2157,150,[],108,0,[]
19900812,3师弟,21,3002,1271,2317,134,[],126,0,[]
19901452,孤独的薰衣草,19,2976,1194,2081,109,[],120,0,[]
19901844,玲珑看月,10,2789,1194,1962,124,[],143,0,[]
19901986,L要减肥,20,2910,1200,2002,127,[],114,0,[]
19904342,慕雪依兰,16,2774,1188,1967,140,[],127,0,[]
19905212,cook_cook,17,3002,1209,1904,114,[],107,1,"[{'liuyan_user_id': '66461853', 'liuyan_time': '2019-01-14 15:57:21'}]"
19910726,木桶桐,17,2861,1182,1816,115,[],111,0,[]
19911490,朝暮垂晚兮,19,2798,1187,1897,138,[],97,2,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-09-27 07:48:03'}, {'liuyan_user_id': '70856510', 'liuyan_time': '2016-08-16 08:46:24'}]"
19914187,叶少,16,3002,1189,2264,127,[],113,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-16 08:25:31'}]"
19916345,灵雨节,16,3002,1188,1807,126,[],109,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-09-05 13:41:17'}]"
19916826,yaro,14,3002,1216,2233,155,[],123,0,[]
19917141,布洛芬,20,2838,1222,2006,135,[],124,1,"[{'liuyan_user_id': '40023476', 'liuyan_time': '2017-03-11 03:30:33'}]"
19918995,小地瓜,18,2833,1203,1867,123,[],116,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-12-20 08:07:20'}]"
19920229,水果硬糖,19,2805,1261,2151,137,[],147,0,[]
19920306,在下tony有何贵干,16,2880,1220,2131,156,[],115,0,[]
19920770,一条小鱼干,17,2984,1182,2057,154,[],107,0,[]
19921503,阿毛,19,3002,1205,1991,166,[],123,0,[]
19921807,小豆小兜,18,2986,1211,2028,132,[],117,0,[]
19921846,joagie,16,2817,1178,1950,157,[],123,0,[]
19923418,麦芒守望者,17,3001,1195,1962,126,[],96,0,[]
19923867,撒哈拉飞行员,16,2990,1196,2023,140,[],118,0,[]
19924014,kobe,19,3002,1207,2064,155,[],127,0,[]
19924320,懒兔范范,15,2825,1201,1889,124,[],114,0,[]
19925116,枯木回春,17,2960,1183,1888,132,[],99,0,[]
19925709,笋子,17,2986,1189,2086,143,[],134,1,"[{'liuyan_user_id': '70570717', 'liuyan_time': '2018-01-18 19:19:39'}]"
19926619,大草莓,15,3001,1187,1905,132,[],121,0,[]
19927359,左老板,18,3001,1177,1945,145,[],113,0,[]
19927792,百大Jason,19,2809,1187,1911,115,[],119,0,[]
19928649,刘老湿,20,3001,1192,2031,130,[],114,0,[]
19929819,王三十,19,3001,1182,1956,130,[],196,0,[]
19929852,湖蜜,19,3001,1207,1819,140,[],143,0,[]
19931210,春天花花,12,3001,1177,2031,126,[],116,0,[]
19932474,蓝色幻想,17,3001,1219,2050,142,[],110,0,[]
19932576,猪或者鱼,19,2771,1179,2048,142,[],128,0,[]
19932910,酸奶妹,18,3001,1195,1985,125,[],125,0,[]
19933093,himiko131,13,2804,1183,1950,112,[],119,0,[]
19933275,白骨琉,20,3001,1181,1931,153,[],132,0,[]
19935514,诚信名屋,16,3001,1219,2056,123,[],118,0,[]
19936800,可惜我不是水瓶座,19,2740,1173,2168,134,[],131,0,[]
19937060,Old徐,11,2851,1199,1946,134,[],147,0,[]
19940757,miaomiao,15,2707,1188,1851,117,[],107,0,[]
19940931,温暖,19,2777,1182,1994,129,[],106,0,[]
19941142,陶陶和果果,18,2797,1200,2033,123,[],118,1,"[{'liuyan_user_id': '51743961', 'liuyan_time': '2017-11-10 17:13:41'}]"
19944322,丶灬尛坏坏＂,19,2786,1204,1966,121,[],121,0,[]
19944985,星光灿烂,15,2889,1200,1939,146,[],120,0,[]
19945755,卡特卡,16,2936,1225,1981,114,[],114,0,[]
19947406,梅华河,16,2952,1174,1925,136,[],105,0,[]
19948252,三万丈,15,2885,1175,2058,133,[],123,0,[]
19948324,Adachenyi,18,2799,1197,1990,140,[],119,0,[]
19948900,__．缠 綿,18,2665,1171,2040,119,[],110,0,[]
19949410,寒江天外,16,2845,1193,1964,120,[],114,0,[]
19949935,天不老,17,2825,1192,2277,119,[],95,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2017-09-24 17:09:57'}]"
19950307,溺水的鱼,18,2712,1209,1960,134,[],133,0,[]
19950435,木木,16,2797,1167,2074,125,[],117,0,[]
19950441,蜜蜜_mimi,16,2899,1168,2011,120,[],114,0,[]
19950462,古小雨,18,2875,1184,2015,122,[],124,0,[]
19950503,小皮球佳佳,19,2775,1237,2087,108,[],125,1,"[{'liuyan_user_id': '78972740', 'liuyan_time': '2017-01-25 17:15:21'}]"
19950668,水瓶鲸鱼,20,2892,1211,2234,120,[],98,0,[]
19950790,繁花醉,18,2805,1205,2425,104,[],113,0,[]
19950935,灵魂花瓣,14,2821,1176,8131,132,[],125,0,[]
19951320,午饭,17,2863,1201,2103,127,[],111,1,"[{'liuyan_user_id': '71692782', 'liuyan_time': '2017-12-04 21:51:17'}]"
