user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
257827,天开眼,9,537,126,2122,0,[],2,2,"[{'liuyan_user_id': '31918393', 'liuyan_time': '2018-05-04 11:33:46'}, {'liuyan_user_id': '61215892', 'liuyan_time': '2017-08-21 19:51:58'}]"
336590,sasa,13,849,540,2096,0,[],2,0,[]
354523,年波也则,10,843,200,2827,0,[],3,1,"[{'liuyan_user_id': '74466223', 'liuyan_time': '2016-05-12 05:13:40'}]"
385673,小C,12,1122,1657,5791,7,[],10,3,"[{'liuyan_user_id': '78049169', 'liuyan_time': '2018-05-30 19:40:26'}, {'liuyan_user_id': '61072243', 'liuyan_time': '2017-01-16 20:05:03'}, {'liuyan_user_id': '93536445', 'liuyan_time': '2016-07-04 22:58:11'}]"
397972,王小暖,9,551,173,2317,0,[],4,1,"[{'liuyan_user_id': '80453227', 'liuyan_time': '2018-03-26 22:13:14'}]"
409125,jennyMM,26,250,708,8993,78,[],0,1,"[{'liuyan_user_id': '71997963', 'liuyan_time': '2018-05-06 18:47:58'}]"
409538,微子,9,557,183,2374,1,[],6,0,[]
453641,公子蔡,30,374,129,1910,377,[],31,1,"[{'liuyan_user_id': '453641', 'liuyan_time': '2016-10-29 17:52:56'}]"
462385,小没,14,1128,1642,4807,4,[],7,1,"[{'liuyan_user_id': '74466223', 'liuyan_time': '2016-05-21 20:10:23'}]"
491903,*圣女不败,14,1134,1889,4916,9,[],7,1,"[{'liuyan_user_id': '77102149', 'liuyan_time': '2018-07-30 21:28:03'}]"
605012,feng,26,558,216,1420,138,[],0,0,[]
629718,campbell,41,1590,560,10133,2927,[],19,1,"[{'liuyan_user_id': '578370', 'liuyan_time': '2015-08-12 23:29:33'}]"
789866,细路祥,26,666,135,2120,715,[],2,0,[]
817164,dragonp,45,1995,3151,23689,18,[],0,1,"[{'liuyan_user_id': '72970648', 'liuyan_time': '2016-03-14 23:21:00'}]"
5175687,红袍守望,30,112,14,2195,466,[],0,0,[]
5298436,Leader_Lee,17,25,20,770,3,[],0,0,[]
5300594,人淡如月,36,34,593,6264,10,[],1,1,"[{'liuyan_user_id': '72970648', 'liuyan_time': '2016-03-20 23:30:08'}]"
5550526,汐颜,30,294,523,10427,399,[],0,0,[]
5648538,MANKUENLAI,18,11,28,1495,11,[],0,0,[]
13116127,ㄝ圭 ㄝ圭,24,785,101,4775,748,[],162,0,[]
17344877,丸子没樱桃,16,2999,378,3789,3,[],3,0,[]
17432002,兔几,17,2997,420,3335,0,[],3,2,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-12-31 18:21:09'}, {'liuyan_user_id': '69440162', 'liuyan_time': '2016-09-28 23:33:20'}]"
17604580,可乐加水,40,960,44,435,381,[],1,0,[]
17731531,蚂蜂窝goericg,15,2999,205,2379,0,[],3,0,[]
17742348,Bonnie,17,3000,408,4269,0,[],10,1,"[{'liuyan_user_id': '92959072', 'liuyan_time': '2016-10-09 02:03:18'}]"
18103256,-宇宙人-,14,3001,1444,4321,18,[],16,0,[]
19583529,Er1c,28,517,862,5130,803,[],5,0,[]
19900334,光电虫子,18,3002,1195,1939,128,[],114,1,"[{'liuyan_user_id': '975330', 'liuyan_time': '2015-08-13 23:33:23'}]"
19900812,3师弟,21,3002,1271,2310,134,[],126,0,[]
19901844,玲珑看月,10,2789,1194,1959,124,[],143,0,[]
19903496,冈萨雷斯,18,3002,1245,2064,139,[],126,0,[]
19906264,彩霞仙子,13,3001,1214,2205,123,[],127,0,[]
19906510,八爪蟹,21,3002,1241,1928,137,[],101,0,[]
19910726,木桶桐,17,2861,1182,1813,115,[],111,0,[]
19912000,野马潭,15,2814,1205,2259,124,[],120,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-06-05 05:37:21'}]"
19913352,呼噜熊,18,3002,1173,2060,140,[],120,0,[]
19916196,怪物233333,17,2820,1207,2018,137,[],117,0,[]
19916345,灵雨节,16,3002,1188,1807,126,[],109,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-09-05 13:41:17'}]"
19917141,布洛芬,20,2838,1222,2003,135,[],124,1,"[{'liuyan_user_id': '40023476', 'liuyan_time': '2017-03-11 03:30:33'}]"
19918426,车厘子,17,3002,1198,2121,124,[],148,0,[]
19918995,小地瓜,18,2833,1203,1864,123,[],116,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-12-20 08:07:20'}]"
19920420,猫大兄弟,14,2779,1187,2134,164,[],121,0,[]
19920770,一条小鱼干,17,2984,1182,2051,154,[],107,0,[]
19921503,阿毛,19,3002,1205,1991,166,[],123,0,[]
19921807,小豆小兜,18,2986,1211,2028,132,[],117,0,[]
19923418,麦芒守望者,17,3001,1195,1956,126,[],96,0,[]
19923498,菠菜大大,20,2972,1211,1961,153,[],122,0,[]
19924320,懒兔范范,15,2825,1201,1886,124,[],114,0,[]
19925933,我爱喝果粒橙,19,3002,1190,1867,128,[],122,0,[]
19926619,大草莓,15,3001,1187,1902,132,[],121,0,[]
19927792,百大Jason,19,2809,1187,1908,115,[],119,0,[]
19928482,wsaszyc,17,2856,1202,1963,143,[],124,0,[]
19928649,刘老湿,20,3001,1192,2025,130,[],114,0,[]
19931858,夏树,15,2775,1189,1984,107,[],138,0,[]
19932474,蓝色幻想,17,3001,1219,2044,142,[],110,0,[]
19932576,猪或者鱼,19,2771,1179,2045,142,[],128,0,[]
19933867,曼联死忠,17,3001,1177,1956,133,[],131,0,[]
19934423,秋恋宝贝,20,2777,1217,2036,125,[],124,0,[]
19935514,诚信名屋,16,3001,1219,2056,123,[],118,0,[]
19936800,可惜我不是水瓶座,19,2740,1173,2162,134,[],131,0,[]
19937060,Old徐,11,2851,1199,1940,134,[],147,0,[]
19937657,so sweet,17,2995,1193,1928,114,[],116,0,[]
19940757,miaomiao,15,2707,1188,1851,117,[],107,0,[]
19942769,北方网狼,18,2809,1196,1715,119,[],115,0,[]
19943755,你要的温柔╮,18,3001,1201,1974,135,[],135,0,[]
19944985,星光灿烂,15,2889,1200,1933,146,[],120,0,[]
19946394,zlian,15,2858,1207,1957,124,[],115,0,[]
19947104,DUYU217,17,2762,1198,1936,130,[],108,1,"[{'liuyan_user_id': '55385549', 'liuyan_time': '2017-02-06 22:11:17'}]"
19948252,三万丈,15,2885,1175,2055,133,[],123,0,[]
19948324,Adachenyi,18,2799,1197,1990,140,[],119,0,[]
19949373,鸟中王,19,2909,1205,1917,129,[],114,0,[]
19949929,dengdaisj,18,2928,1188,2624,122,[],110,0,[]
19950307,溺水的鱼,18,2712,1209,1957,134,[],133,0,[]
19950487,bezhe,18,2739,1197,2028,105,[],140,0,[]
19950668,水瓶鲸鱼,20,2892,1211,2231,120,[],98,0,[]
19950790,繁花醉,18,2805,1205,2422,104,[],113,0,[]
19950803,猜猜这个是谁,16,2793,1199,1953,119,[],107,0,[]
19950935,灵魂花瓣,14,2821,1176,8128,132,[],125,0,[]
19951303,xuwei,13,2848,1178,1919,132,[],134,0,[]
19951544,刘杨刘杨刘,16,2933,1218,1971,137,[],113,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2017-10-17 15:57:46'}]"
19951611,晶莹,19,2910,1179,2002,146,[],108,0,[]
19952059,qdxd,17,2821,1202,1784,130,[],105,0,[]
19952093,woleile,18,2815,1188,1873,126,[],101,1,"[{'liuyan_user_id': '316526', 'liuyan_time': '2018-01-29 12:54:41'}]"
19952250,公婆,19,2862,1170,1959,124,[],109,1,"[{'liuyan_user_id': '93202124', 'liuyan_time': '2016-06-09 13:29:31'}]"
19952501,云馨,16,2843,1195,2042,112,[],121,0,[]
19952512,mhy31,18,2765,1215,1937,105,[],132,0,[]
19952713,迷糊娃娃,19,2916,1169,2005,101,[],138,0,[]
19953208,猪的小猪68,19,2879,1199,1976,108,[],122,0,[]
19953209,gaobi,11,2883,1200,1866,120,[],180,0,[]
19953310,达能,20,2875,1211,1954,113,[],115,0,[]
