user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
121147,vigea,12,825,174,1324,1,[],8,0,[]
166866,轻微,11,1021,240,3107,1,[],4,1,"[{'liuyan_user_id': '81995374', 'liuyan_time': '2016-11-18 14:11:28'}]"
189892,刘宇,10,1028,212,2817,0,[],2,1,"[{'liuyan_user_id': '33212951', 'liuyan_time': '2016-10-24 21:18:22'}]"
256578,啧啧灬Q,21,42,20,400,177,[],3,0,[]
279654,migi,11,1030,277,4057,0,[],2,2,"[{'liuyan_user_id': '83227719', 'liuyan_time': '2017-11-21 09:34:52'}, {'liuyan_user_id': '69465530', 'liuyan_time': '2017-11-14 09:41:54'}]"
336590,sasa,13,849,540,2097,0,[],2,0,[]
348020,外面的世界,11,1058,237,3396,0,[],2,0,[]
354828,芳华爱小丸子,13,1036,415,10682,1,[],6,1,"[{'liuyan_user_id': '975330', 'liuyan_time': '2015-08-14 10:32:41'}]"
395869,奇犽,15,1106,1522,4295,3,[],6,0,[]
452744,萱Bao,13,1060,602,3633,0,[],3,1,"[{'liuyan_user_id': '93440046', 'liuyan_time': '2016-06-28 09:50:11'}]"
456954,steven,16,1066,258,1487,0,[],3,0,[]
490594,大咸魚,14,1126,1506,4202,3,[],8,1,"[{'liuyan_user_id': '47096219', 'liuyan_time': '2017-08-28 16:15:01'}]"
491903,*圣女不败,14,1134,1889,4917,9,[],7,1,"[{'liuyan_user_id': '77102149', 'liuyan_time': '2018-07-30 21:28:03'}]"
491991,南绝·弇。,19,2114,1622,5340,15,[],7,0,[]
523357,跃然纸上,16,581,114,1196,9,[],5,0,[]
629718,campbell,41,1590,558,10136,2927,[],19,1,"[{'liuyan_user_id': '578370', 'liuyan_time': '2015-08-12 23:29:33'}]"
651447,水煮的丸子,7,100,14,467,4,[],7,0,[]
727247,独角兽,11,586,96,687,0,[],6,0,[]
782788,癫人,12,1169,1398,4040,10,[],11,1,"[{'liuyan_user_id': '51232112', 'liuyan_time': '2017-04-07 10:04:28'}]"
914662,大脸脸,13,766,1424,4353,16,[],5,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-16 08:27:05'}]"
1044673,汪晨,8,156,17,316,0,[],0,0,[]
1949180,梦在流浪,14,127,53,3909,4,[],0,0,[]
5175687,红袍守望,30,112,14,2202,466,[],0,0,[]
5254024,思立皮有点萌,27,512,381,748,1,[],0,0,[]
5291576,阿霖丶,29,28,154,1935,311,[],2,0,[]
5295200,傻。小轩,19,86,36,1339,259,[],1,0,[]
5580447,游玩即是美好,16,263,101,1198,6,[],6,0,[]
5648699,晓娴2010,45,1322,11706,68338,3954,[],3,5,"[{'liuyan_user_id': '5648699', 'liuyan_time': '2020-11-20 13:43:34'}, {'liuyan_user_id': '5562757', 'liuyan_time': '2020-10-15 22:03:06'}, {'liuyan_user_id': '5648699', 'liuyan_time': '2020-01-19 17:05:57'}, {'liuyan_user_id': '5562757', 'liuyan_time': '2020-01-19 10:11:08'}, {'liuyan_user_id': '5648699', 'liuyan_time': '2019-04-01 16:29:33'}]"
5711929,搁浅,19,140,59,2440,187,[],3,0,[]
13116127,ㄝ圭 ㄝ圭,24,785,101,4776,748,[],162,0,[]
17365551,伊娃,17,2999,369,4444,3,[],4,0,[]
17406946,宝丁,16,2997,326,2774,0,[],1,2,"[{'liuyan_user_id': '44914695', 'liuyan_time': '2017-04-23 12:34:34'}, {'liuyan_user_id': '78972740', 'liuyan_time': '2017-01-25 16:34:21'}]"
17722075,celine,10,2999,198,2934,2,[],5,0,[]
17735883,jason chan,11,2999,199,2975,1,[],2,1,"[{'liuyan_user_id': '48070171', 'liuyan_time': '2019-02-12 20:54:44'}]"
17742348,Bonnie,17,3000,408,4276,0,[],10,1,"[{'liuyan_user_id': '92959072', 'liuyan_time': '2016-10-09 02:03:18'}]"
18017338,羊村的慢羊羊,15,3001,1604,5591,2,[],7,2,"[{'liuyan_user_id': '67617465', 'liuyan_time': '2018-12-04 11:55:16'}, {'liuyan_user_id': '316526', 'liuyan_time': '2018-01-11 13:40:11'}]"
18041569,叶子,11,3001,1485,4818,3,[],6,0,[]
18133781,一只佩奇,17,3001,1608,5584,13,[],7,0,[]
19570243,zuozuoyouyou,7,2335,6,260,1,[],2,0,[]
19900129,小太阳,16,2919,1196,2158,150,[],108,0,[]
19900334,光电虫子,18,3002,1195,1946,128,[],114,1,"[{'liuyan_user_id': '975330', 'liuyan_time': '2015-08-13 23:33:23'}]"
19900812,3师弟,21,3002,1271,2318,134,[],126,0,[]
19901452,孤独的薰衣草,19,2976,1194,2085,109,[],120,0,[]
19901986,L要减肥,20,2910,1200,2003,127,[],114,0,[]
19904342,慕雪依兰,16,2774,1188,1968,140,[],127,0,[]
19906264,彩霞仙子,13,3001,1214,2206,123,[],127,0,[]
19906510,八爪蟹,21,3002,1241,1935,137,[],101,0,[]
19910726,木桶桐,17,2861,1182,1817,115,[],111,0,[]
19913252,微笑,17,2830,1170,1871,118,[],111,0,[]
19913352,呼噜熊,18,3002,1173,2067,140,[],120,0,[]
19914187,叶少,16,3002,1189,2268,127,[],113,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-16 08:25:31'}]"
19915383,仓库小猫,15,2888,1195,1932,153,[],132,0,[]
19915805,何石富,17,3002,1166,1884,121,[],127,0,[]
19916196,怪物233333,17,2820,1207,2025,137,[],117,0,[]
19916345,灵雨节,16,3002,1188,1811,126,[],109,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-09-05 13:41:17'}]"
19918907,刘大猫,20,2965,1205,2074,153,[],111,0,[]
19919374,努比佳,19,3002,1187,1962,128,[],125,0,[]
19920306,在下tony有何贵干,16,2880,1220,2135,156,[],115,0,[]
19920770,一条小鱼干,17,2984,1182,2058,154,[],107,0,[]
19921503,阿毛,19,3002,1205,1993,166,[],123,0,[]
19921807,小豆小兜,18,2986,1211,2029,132,[],117,0,[]
19923498,菠菜大大,20,2972,1212,1968,153,[],122,0,[]
19923875,索尼,18,2769,1190,2011,117,[],128,0,[]
19924320,懒兔范范,15,2825,1201,1890,124,[],114,0,[]
19925598,sandy00700,18,2969,1196,1838,119,[],97,0,[]
19926619,大草莓,15,3001,1187,1909,132,[],121,0,[]
19926683,阮绵绵,17,3001,1203,1899,119,[],124,0,[]
19927792,百大Jason,19,2809,1187,1912,115,[],119,0,[]
19928482,wsaszyc,17,2856,1202,1973,143,[],124,0,[]
19931858,夏树,15,2775,1189,1991,107,[],138,0,[]
19932576,猪或者鱼,19,2771,1179,2052,142,[],128,0,[]
19933334,tyn85926,17,2790,1190,1929,98,[],135,0,[]
19934423,秋恋宝贝,20,2777,1217,2040,125,[],124,0,[]
19935514,诚信名屋,16,3001,1219,2060,123,[],118,0,[]
19936800,可惜我不是水瓶座,19,2740,1173,2169,134,[],131,0,[]
19937060,Old徐,11,2851,1199,1950,134,[],147,0,[]
19937657,so sweet,17,2995,1193,1929,114,[],116,0,[]
19940931,温暖,19,2777,1182,1995,129,[],106,0,[]
19941142,陶陶和果果,18,2797,1200,2034,123,[],118,1,"[{'liuyan_user_id': '51743961', 'liuyan_time': '2017-11-10 17:13:41'}]"
19942769,北方网狼,18,2809,1196,1725,119,[],115,0,[]
19943755,你要的温柔╮,18,3001,1201,1981,135,[],135,0,[]
19944322,丶灬尛坏坏＂,19,2786,1204,1967,121,[],121,0,[]
19944386,暗水天狼,19,2876,1204,1834,119,[],119,0,[]
19944985,星光灿烂,15,2889,1200,1940,146,[],120,0,[]
19946773,枯木回春,15,2801,1204,1891,119,[],128,0,[]
19947406,梅华河,16,2952,1174,1926,136,[],105,0,[]
19949373,鸟中王,19,2909,1205,1927,129,[],114,0,[]
19949929,dengdaisj,18,2928,1188,2634,122,[],110,0,[]
19950391,沙粒尒,15,2860,1195,2060,123,[],134,0,[]
19950435,木木,16,2797,1167,2075,125,[],117,0,[]
19950441,蜜蜜_mimi,16,2899,1168,2012,120,[],114,0,[]
19950503,小皮球佳佳,19,2775,1237,2088,108,[],125,1,"[{'liuyan_user_id': '78972740', 'liuyan_time': '2017-01-25 17:15:21'}]"
19950668,水瓶鲸鱼,20,2892,1211,2235,120,[],98,0,[]
19950790,繁花醉,18,2805,1205,2426,104,[],113,0,[]
19950803,猜猜这个是谁,16,2793,1199,1957,119,[],107,0,[]
19951026,yuanxjh,18,2787,1187,1962,129,[],114,1,"[{'liuyan_user_id': '70856510', 'liuyan_time': '2016-08-16 08:46:12'}]"
19951320,午饭,17,2863,1201,2104,127,[],111,1,"[{'liuyan_user_id': '71692782', 'liuyan_time': '2017-12-04 21:51:17'}]"
19951544,刘杨刘杨刘,16,2933,1218,1975,137,[],113,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2017-10-17 15:57:46'}]"
19951546,微笑布瓜,19,2773,1212,2012,132,[],97,0,[]
19951611,晶莹,19,2910,1179,2009,146,[],108,0,[]
19952059,qdxd,17,2821,1202,1785,130,[],105,0,[]
19952093,woleile,18,2815,1188,1877,126,[],101,1,"[{'liuyan_user_id': '316526', 'liuyan_time': '2018-01-29 12:54:41'}]"
